cgpa,placement_status
8.99,Placed
8.36,Placed
7.18,Placed
6.28,Not Placed
5.3,Not Placed
6.69,Not Placed
7.3,Placed
8.44,Placed
8.23,Not Placed
9.74,Placed
5.5,Not Placed
6.68,Not Placed
7.41,Placed
8.35,Not Placed
7.48,Not Placed
9.56,Placed
8.04,Placed
5.2,Not Placed
5.57,Not Placed
8.77,Placed
8.58,Placed
5.77,Not Placed
5.29,Not Placed
7.89,Placed
8.18,Placed
5.68,Not Placed
7.37,Not Placed
6.53,Placed
9.66,Placed
6.1,Not Placed
8.67,Placed
7.59,Placed
5.06,Not Placed
7.58,Not Placed
5.5,Not Placed
8.3,Not Placed
7.83,Not Placed
5.05,Not Placed
6.02,Not Placed
8.88,Not Placed
6.38,Not Placed
7.5,Not Placed
6.56,Not Placed
9.61,Placed
7.68,Placed
8.48,Placed
5.42,Not Placed
5.2,Placed
6.3,Not Placed
6.55,Placed
8.44,Placed
7.85,Placed
6.87,Not Placed
8.27,Placed
5.82,Placed
5.32,Not Placed
9.27,Placed
7.82,Not Placed
8.25,Not Placed
6.54,Not Placed
6.86,Placed
5.41,Not Placed
9.28,Placed
7.96,Not Placed
5.42,Not Placed
9.02,Placed
7.22,Placed
8.83,Placed
5.06,Not Placed
5.14,Not Placed
5.85,Not Placed
6.05,Placed
8.82,Placed
8.53,Not Placed
8.08,Placed
9.42,Not Placed
6.24,Not Placed
9.52,Placed
9.55,Placed
7.17,Not Placed
5.47,Not Placed
8.63,Placed
6.68,Placed
8.97,Placed
5.82,Not Placed
7.7,Not Placed
7.54,Placed
5.5,Not Placed
6.82,Not Placed
5.42,Not Placed
7.32,Not Placed
9.21,Placed
6.35,Not Placed
8.82,Not Placed
5.92,Not Placed
8.37,Placed
9.58,Placed
6.62,Not Placed
9.5,Placed
7.53,Placed
6.58,Placed
9.48,Placed
5.16,Not Placed
5.14,Not Placed
8,Placed
8.98,Placed
8.76,Placed
5.4,Not Placed
9.75,Placed
8.52,Placed
9.75,Placed
6.65,Placed
8.47,Not Placed
9.3,Placed
6.9,Not Placed
9.82,Placed
6.32,Not Placed
6.58,Not Placed
9.6,Placed
9.85,Placed
6.43,Not Placed
5.68,Not Placed
8.8,Placed
9.65,Placed
8,Placed
8.17,Not Placed
8.81,Placed
5.77,Not Placed
9.87,Placed
6.82,Placed
8.14,Not Placed
7.34,Not Placed
7.34,Placed
8.51,Placed
9.97,Not Placed
8.3,Not Placed
8.97,Placed
5.14,Not Placed
9.05,Not Placed
6.5,Not Placed
5.63,Not Placed
5.57,Placed
8.4,Placed
9.99,Placed
8.33,Placed
6.31,Placed
6.02,Not Placed
7.63,Not Placed
5.33,Not Placed
7,Not Placed
8.33,Placed
9.84,Placed
7.13,Not Placed
6,Not Placed
9.09,Not Placed
8.72,Placed
9.3,Placed
6.07,Not Placed
7.02,Placed
9.91,Placed
5.79,Not Placed
8.36,Not Placed
6.19,Not Placed
7.5,Placed
9,Placed
7.44,Not Placed
9.03,Not Placed
7.13,Placed
10,Placed
7.18,Placed
5.75,Not Placed
7.01,Not Placed
8.71,Placed
9.24,Placed
7.3,Placed
7.97,Not Placed
9.22,Placed
9.07,Placed
8.29,Not Placed
9.08,Placed
7.88,Placed
5.02,Placed
5.21,Placed
9.9,Placed
5.72,Placed
7.02,Placed
9.67,Placed
5.98,Not Placed
9.22,Placed
9.09,Placed
9.93,Placed
6.41,Not Placed
6.58,Placed
9.51,Placed
6.17,Not Placed
7.74,Placed
8.54,Placed
6.36,Not Placed
9.69,Placed
8.33,Not Placed
5.24,Not Placed
5.68,Not Placed
5.95,Not Placed
6.22,Not Placed
8.65,Not Placed
5.44,Not Placed
6.75,Not Placed
9.56,Not Placed
7.78,Not Placed
6.33,Not Placed
9.79,Not Placed
6.22,Not Placed
9.53,Placed
8.63,Not Placed
8.7,Not Placed
8.82,Placed
7.53,Not Placed
9.07,Not Placed
9.18,Placed
6.8,Placed
7,Not Placed
9.44,Placed
7.62,Placed
9.33,Placed
8.13,Placed
7.97,Not Placed
5.15,Not Placed
6.39,Not Placed
7.51,Placed
7.94,Not Placed
8.15,Placed
8.58,Placed
8.28,Not Placed
9.24,Placed
6.48,Placed
8.21,Placed
5.26,Not Placed
7.4,Placed
6.34,Not Placed
6.9,Not Placed
6.77,Not Placed
5.3,Not Placed
7.33,Not Placed
9.97,Placed
6.49,Placed
8.68,Placed
7.74,Placed
6.63,Not Placed
5.45,Not Placed
6.08,Placed
8.91,Not Placed
6.4,Not Placed
5.72,Not Placed
6.66,Not Placed
7.92,Not Placed
8.52,Placed
6.94,Not Placed
7.49,Placed
7.27,Placed
5.05,Placed
6.98,Not Placed
7.94,Placed
7.85,Placed
8.75,Placed
8.35,Placed
6.38,Placed
6.28,Not Placed
7.32,Placed
8.66,Placed
5.47,Not Placed
9.74,Placed
7.72,Placed
6.53,Not Placed
8.47,Placed
5.22,Not Placed
7.42,Placed
7.43,Placed
5.81,Not Placed
9.19,Placed
8.98,Placed
5.76,Not Placed
6.82,Not Placed
5.5,Not Placed
9.24,Placed
6.62,Not Placed
7.2,Not Placed
6.62,Not Placed
6.55,Not Placed
8.74,Not Placed
8.74,Placed
7.59,Placed
8.29,Placed
7.56,Placed
5.14,Placed
5.33,Not Placed
6.92,Placed
8.75,Placed
9.57,Placed
5.15,Not Placed
6.84,Not Placed
6.12,Not Placed
9.08,Placed
9.23,Placed
6.03,Not Placed
8.55,Not Placed
8.66,Not Placed
5.89,Placed
7.17,Placed
8.1,Placed
5.13,Not Placed
7.02,Not Placed
5.77,Not Placed
7.71,Not Placed
9.21,Placed
7.62,Placed
5.18,Not Placed
5.15,Not Placed
8.03,Placed
6.64,Not Placed
7.86,Not Placed
5.82,Not Placed
8.88,Placed
9.3,Placed
9.45,Placed
6.52,Not Placed
8.3,Placed
6.4,Not Placed
8.81,Placed
5.6,Not Placed
8.81,Placed
7.2,Placed
9.28,Placed
8.69,Placed
6.88,Not Placed
9.52,Placed
6.42,Not Placed
9.83,Placed
8.84,Not Placed
9.95,Placed
5.27,Not Placed
6.37,Not Placed
8.71,Placed
9.61,Placed
5.14,Placed
5,Not Placed
6.28,Placed
9.26,Placed
8.84,Not Placed
6.7,Placed
5.01,Placed
7.77,Not Placed
6.19,Not Placed
8.73,Placed
7.23,Not Placed
8.39,Placed
9.26,Placed
7.68,Not Placed
6.68,Not Placed
8.85,Placed
6.33,Not Placed
9.46,Placed
5.36,Not Placed
9.18,Placed
5.46,Not Placed
5.28,Not Placed
6.82,Placed
9.78,Not Placed
9.92,Placed
6.01,Placed
